Paper_id,DOI,Authors,Authors_abbrev,PubYear,Journal,Volume_issue,Title,Pages,ReaderName,DateRead,Notes,,,,,,,,,,,,,,
150,10.1080/00103629309368895,"Kitur, B.K., Olson, K.R., Siemens, J.C., & Phillips, S.R.",Kitur et al.,1993,Communications in Soil Science and Plant Analysis,24,Tillage effects on selected physical properties of Grantsburg silt loam,1509-1527,LWA,2/4/2019,,,,,,,,,,,,,,,
151,10.1080/00103629409369033,"Kitur, B.K., Phillips, S.R., Olson, K.R., & Ebelher, S.A.",Kitur et al.,1994,Communications in Soil Science and Plant Analysis,25,Tillage effects on selected chemical properties of Gransburg silt loam,225-246,LWA,2/4/2019,,,,,,,,,,,,,,,
152,10.1097/00010694-199812000-00007,"Hussain, I., Olson, K.R., & Siemens, J.C.",Hussain et al.,1998,Soil Science,163(12),Long-term tillage effects on physical properties of eroded soil,970-981,LWA,2/5/2019,,,,,,,,,,,,,,,
153,10.1016/S0167-1987(98)00170-6,"Yang, X. & Wander, M.M.",Yang & Wander,1998,Soil & Tillage Research,49,Temporal changes in dry aggregate size and stability: tillage and crop effects on a silty loam Mollisol in Illinois,173-183,LWA,2/5/2019,,,,,,,,,,,,,,,
154,10.1016/S0167-1987(99)00054-9,"Hussain, I., Olson, K.R., & Ebelhar, S.A.",Hussain et al.,1999,Soil & Tillage Research,52,Impacts of tillage and no-till on production of maize and soybean on an eroded Illinois silt loam soil,37-49,LWA,2/5/2019,,,,,,,,,,,,,,,
155,10.2136/sssaj1999.6351335x,"Hussain, I., Olson, K.R., & Ebelhar, S.A.",Hussain et al.,1999,Soil Science Society of America Journal,63,Long-term tillage effects on soil chemical properties and organic matter fractions,1335-1341,LWA,2/5/2019,,,,,,,,,,,,,,,
156,10.1016/j.still.2004.09.009,"Olson, K.R., Lang, J.M., & Ebelhar, S.A.",Olson et al.,2005,Soil & Tillage Research,81,Soil organic carbon changes after 12 years of no-tillage and tillage of Grantsburg soils in southern Illinois,217-225,LWA,2/5/2019,,,,,,,,,,,,,,,
157,10.1016/S0167-1987(99)00051-3,"Yang, X. & Wander, M.M.",Yang & Wander,1999,Soil & Tillage Research,52,Tillage effects on soil organic carbon distribution and storage in a silt loam soil in Illinois,9-Jan,LWA,2/6/2019,,,,,,,,,,,,,,,
158,10.1016/S0038-0717(00)00031-6,"Wander, M.M. & Yang, X.",Wander & Yang,2000,Soil Biology & Biochemistry,32,Influence of tillage on the dynamics of losse- and occluded- particulate and humified organic matter fractions,1151-1160,LWA,2/6/2019,,,,,,,,,,,,,,,
159,10.2134/agronj14.0465,"Zuber, S.M., Behnke, G.D., Nafziger, E.D., & Villamil, M.B.",Zuber et al.,2015,Agronomy Journal,107(3),Crop rotation and tillage effects on soil physical and chemical properties in Illinois,971-978,LWA,2/14/2019,,,,,,,,,,,,,,,
160,10.2134/agronj14.0549,"Fernandez, F.G., Sorensen, B.A., & Villamil, M.B.",Fernandez et al.,2015,Agronomy Journal,107,A comparison of soil properties after five years of no-till and strip-till,1339-1346,LWA,2/14/2019,,,,,,,,,,,,,,,
161,10.2134/agronj2015.0397,"Cook, R.L. & Trlica, A.",Cook & Trlica,2016,Agronomy Journal,108,Tillage and fertilizer effects on crop yield and soil properties over 45 years in Southern Illinois,415-426,LWA,2/14/2019,,,,,,,,,,,,,,,
